0	1	2
146	147	2
46	47	2
48	49	2
50	51	2
52	53	2
54	55	2
44	45	2
56	57	2
60	61	2
62	63	2
64	65	2
66	67	2
68	69	2
70	71	2
58	59	2
42	43	2
40	41	2
38	39	2
8	9	2
10	11	2
12	13	2
14	15	2
16	17	2
18	19	2
20	21	2
22	23	2
24	25	2
26	27	2
28	29	2
30	31	2
32	33	2
34	35	2
36	37	2
72	73	2
6	7	2
74	75	2
78	79	2
118	119	2
120	121	2
122	123	2
124	125	2
126	127	2
128	129	2
116	117	2
130	131	2
134	135	2
136	137	2
138	139	2
140	141	2
142	143	2
144	145	2
132	133	2
114	115	2
112	113	2
110	111	2
80	81	2
82	83	2
84	85	2
86	87	2
88	89	2
90	91	2
92	93	2
94	95	2
96	97	2
98	99	2
100	101	2
102	103	2
104	105	2
106	107	2
108	109	2
76	77	2
4	5	2
148	149	2
2	3	2
47	131	0.349946
46	131	0.174973
47	130	0.174973
99	121	0.128246
37	69	0.120097
46	130	0.0874866
29	77	0.0764501
43	135	0.0677327
99	137	0.0653091
99	120	0.064123
98	121	0.064123
36	69	0.0600487
37	68	0.0600487
73	107	0.0426676
28	77	0.0382251
29	76	0.0382251
43	134	0.0338663
42	135	0.0338663
98	137	0.0326545
99	136	0.0326545
98	120	0.0320615
36	68	0.0300244
59	143	0.0244656
77	135	0.0237058
73	106	0.0213338
72	107	0.0213338
28	76	0.0191125
42	134	0.0169332
98	136	0.0163273
15	85	0.0155886
53	61	0.0151558
67	101	0.0149688
13	77	0.0146195
13	35	0.0135422
58	143	0.0122328
59	142	0.0122328
13	55	0.0119593
76	135	0.0118529
77	134	0.0118529
99	105	0.0108698
72	106	0.0106669
37	57	0.0100368
29	135	0.00955557
83	93	0.00884864
13	29	0.00878228
14	85	0.00779432
15	84	0.00779432
52	61	0.0075779
53	60	0.0075779
66	101	0.00748439
67	100	0.00748439
12	77	0.00730973
13	76	0.00730973
13	34	0.00677109
12	35	0.00677109
41	93	0.00669579
58	142	0.00611639
13	54	0.00597966
12	55	0.00597966
76	134	0.00592645
105	121	0.00589093
99	104	0.00543492
98	105	0.00543492
37	56	0.00501842
36	57	0.00501842
29	134	0.00477779
28	135	0.00477779
11	127	0.00466294
11	93	0.00454552
83	92	0.00442432
82	93	0.00442432
