0	1	2
96	97	2
94	95	2
92	93	2
90	91	2
88	89	2
86	87	2
84	85	2
82	83	2
80	81	2
78	79	2
76	77	2
146	147	2
74	75	2
72	73	2
70	71	2
68	69	2
66	67	2
64	65	2
62	63	2
98	99	2
100	101	2
102	103	2
104	105	2
144	145	2
142	143	2
140	141	2
138	139	2
136	137	2
134	135	2
132	133	2
130	131	2
128	129	2
60	61	2
126	127	2
122	123	2
120	121	2
118	119	2
116	117	2
114	115	2
112	113	2
110	111	2
108	109	2
106	107	2
124	125	2
58	59	2
148	149	2
54	55	2
22	23	2
24	25	2
56	57	2
26	27	2
28	29	2
30	31	2
32	33	2
34	35	2
20	21	2
16	17	2
14	15	2
36	37	2
12	13	2
18	19	2
38	39	2
4	5	2
2	3	2
10	11	2
46	47	2
8	9	2
44	45	2
6	7	2
40	41	2
48	49	2
50	51	2
52	53	2
42	43	2
81	113	5.165e-05
17	83	2.71328e-05
80	113	2.5825e-05
81	112	2.5825e-05
35	83	1.71104e-05
16	83	1.35664e-05
17	82	1.35664e-05
80	112	1.29125e-05
34	83	8.55521e-06
35	82	8.55521e-06
16	82	6.7832e-06
34	82	4.2776e-06
81	149	2.55501e-06
75	105	1.87306e-06
101	127	1.50617e-06
80	149	1.27751e-06
81	148	1.27751e-06
93	119	9.7302e-07
75	104	9.36532e-07
74	105	9.36532e-07
100	127	7.53083e-07
101	126	7.53083e-07
80	148	6.38753e-07
92	119	4.8651e-07
93	118	4.8651e-07
74	104	4.68266e-07
81	105	4.00776e-07
100	126	3.76541e-07
92	118	2.43255e-07
81	104	2.00388e-07
80	105	2.00388e-07
17	35	1.50928e-07
105	113	1.12317e-07
67	77	1.11454e-07
80	104	1.00194e-07
17	34	7.54638e-08
16	35	7.54638e-08
105	112	5.61585e-08
104	113	5.61585e-08
67	76	5.57269e-08
66	77	5.57269e-08
16	34	3.77319e-08
104	112	2.80792e-08
66	76	2.78634e-08
13	139	2.19832e-08
11	113	2.01201e-08
105	149	1.62482e-08
12	139	1.09916e-08
13	138	1.09916e-08
10	113	1.00601e-08
11	112	1.00601e-08
