0	1	2
32	33	2
30	31	2
28	29	2
26	27	2
24	25	2
22	23	2
20	21	2
18	19	2
16	17	2
34	35	2
12	13	2
10	11	2
14	15	2
6	7	2
2	3	2
4	5	2
8	9	2
36	37	2
15	23	2.34776e-05
14	23	1.17388e-05
15	22	1.17388e-05
14	22	5.86939e-06
11	23	4.04569e-06
11	22	2.02285e-06
10	23	2.02285e-06
7	23	1.4334e-06
10	22	1.01142e-06
1	37	8.68623e-07
7	22	7.16699e-07
6	23	7.16699e-07
1	36	4.34311e-07
0	37	4.34311e-07
6	22	3.5835e-07
25	29	2.30696e-07
0	36	2.17156e-07
24	29	1.15348e-07
25	28	1.15348e-07
24	28	5.7674e-08
33	37	1.46262e-08
