0	1	2
8	9	2
10	11	2
12	13	2
14	15	2
16	17	2
18	19	2
6	7	2
20	21	2
24	25	2
26	27	2
28	29	2
30	31	2
32	33	2
34	35	2
22	23	2
4	5	2
36	37	2
2	3	2
5	31	0.0446157
5	21	0.0428209
5	19	0.0346073
23	31	0.0306025
5	11	0.0253846
5	30	0.0223079
4	31	0.0223079
4	21	0.0214104
5	20	0.0214104
5	18	0.0173037
4	19	0.0173037
3	17	0.0154367
22	31	0.0153012
23	30	0.0153012
5	10	0.0126923
4	11	0.0126923
4	30	0.0111539
21	31	0.011128
4	20	0.0107052
4	18	0.00865183
11	19	0.00787578
2	17	0.00771834
3	16	0.00771834
22	30	0.00765062
11	21	0.00710614
19	31	0.00698915
3	35	0.00646483
4	10	0.00634616
20	31	0.00556399
21	30	0.00556399
10	19	0.00393789
11	18	0.00393789
2	16	0.00385917
9	27	0.00359415
10	21	0.00355307
11	20	0.00355307
18	31	0.00349458
19	30	0.00349458
3	34	0.00323242
2	35	0.00323242
19	21	0.00309919
20	30	0.002782
10	18	0.00196894
9	26	0.00179708
8	27	0.00179708
17	27	0.00178074
10	20	0.00177654
18	30	0.00174729
2	34	0.00161621
19	20	0.0015496
18	21	0.0015496
13	37	0.00151058
13	27	0.00135857
13	35	0.00103993
3	13	0.00100605
3	27	0.00100212
9	17	0.000966574
8	26	0.000898538
17	26	0.000890371
16	27	0.000890371
17	35	0.000872189
18	20	0.000774798
13	36	0.000755289
12	37	0.000755289
12	27	0.000679286
13	26	0.000679286
13	17	0.000524361
12	35	0.000519963
13	34	0.000519963
2	13	0.000503025
3	12	0.000503025
3	26	0.000501061
2	27	0.000501061
8	17	0.000483287
9	16	0.000483287
27	35	0.000453671
16	26	0.000445185
16	35	0.000436094
17	34	0.000436094
12	36	0.000377644
12	26	0.000339643
17	37	0.00033378
27	37	0.000316883
11	31	0.000283521
13	16	0.000262181
12	17	0.000262181
12	34	0.000259981
2	12	0.000251512
2	26	0.00025053
8	16	0.000241643
27	34	0.000226836
26	35	0.000226836
16	34	0.000218047
21	23	0.000204264
5	23	0.000181229
9	37	0.000179997
7	35	0.000168004
16	37	0.00016689
17	36	0.00016689
27	36	0.000158442
26	37	0.000158442
11	30	0.00014176
10	31	0.00014176
12	16	0.00013109
26	34	0.000113418
20	23	0.000102132
21	22	0.000102132
5	22	9.06145e-05
4	23	9.06145e-05
8	37	8.99983e-05
9	36	8.99983e-05
6	35	8.4002e-05
7	34	8.4002e-05
16	36	8.3445e-05
7	27	7.95386e-05
26	36	7.92208e-05
10	30	7.08801e-05
20	22	5.1066e-05
4	22	4.53072e-05
8	36	4.49991e-05
6	34	4.2001e-05
6	27	3.97693e-05
7	26	3.97693e-05
3	9	3.1091e-05
19	23	2.95512e-05
11	23	2.41282e-05
6	26	1.98847e-05
9	35	1.65161e-05
3	8	1.55455e-05
2	9	1.55455e-05
19	22	1.47756e-05
18	23	1.47756e-05
9	13	1.4753e-05
11	22	1.20641e-05
10	23	1.20641e-05
7	9	8.95106e-06
9	34	8.25803e-06
8	35	8.25803e-06
2	8	7.77274e-06
18	22	7.3878e-06
9	12	7.3765e-06
8	13	7.3765e-06
10	22	6.03205e-06
1	29	5.29529e-06
7	8	4.47553e-06
6	9	4.47553e-06
8	34	4.12901e-06
3	37	3.83842e-06
8	12	3.68825e-06
1	28	2.64765e-06
0	29	2.64765e-06
6	8	2.23777e-06
2	37	1.91921e-06
3	36	1.91921e-06
7	17	1.82063e-06
0	28	1.32382e-06
27	33	1.23809e-06
2	36	9.59604e-07
6	17	9.10316e-07
7	16	9.10316e-07
3	7	8.02609e-07
27	32	6.19044e-07
26	33	6.19044e-07
6	16	4.55158e-07
2	7	4.01305e-07
3	6	4.01305e-07
7	13	3.28556e-07
26	32	3.09522e-07
2	6	2.00652e-07
7	12	1.64278e-07
6	13	1.64278e-07
9	33	1.61575e-07
35	37	1.34457e-07
13	33	1.2308e-07
21	25	1.13118e-07
6	12	8.21389e-08
9	32	8.07874e-08
8	33	8.07874e-08
35	36	6.72286e-08
34	37	6.72286e-08
12	33	6.15399e-08
13	32	6.15399e-08
20	25	5.65588e-08
21	24	5.65588e-08
15	23	4.25232e-08
8	32	4.03937e-08
34	36	3.36143e-08
12	32	3.07699e-08
20	24	2.82794e-08
5	25	2.52896e-08
14	23	2.12616e-08
15	22	2.12616e-08
5	24	1.26448e-08
4	25	1.26448e-08
7	37	1.19255e-08
11	15	1.15669e-08
11	25	1.12421e-08
14	22	1.06308e-08
