0	1	2
34	35	2
32	33	2
30	31	2
28	29	2
26	27	2
24	25	2
22	23	2
20	21	2
76	77	2
18	19	2
16	17	2
14	15	2
12	13	2
10	11	2
8	9	2
36	37	2
38	39	2
40	41	2
42	43	2
74	75	2
72	73	2
70	71	2
68	69	2
66	67	2
64	65	2
62	63	2
6	7	2
60	61	2
56	57	2
54	55	2
52	53	2
50	51	2
48	49	2
46	47	2
44	45	2
58	59	2
4	5	2
78	79	2
2	3	2
3	61	0.120241
3	60	0.0601205
2	61	0.0601205
2	60	0.0300602
9	43	0.0259613
37	77	0.0177292
13	17	0.0167245
13	75	0.013739
9	42	0.0129807
8	43	0.0129807
3	43	0.00955049
36	77	0.00886461
37	76	0.00886461
35	47	0.008486
13	16	0.00836223
12	17	0.00836223
3	49	0.00772145
9	39	0.0072653
13	74	0.00686951
12	75	0.00686951
8	42	0.00649034
2	43	0.00477524
3	42	0.00477524
36	76	0.0044323
35	46	0.004243
34	47	0.004243
12	16	0.00418111
3	48	0.00386073
2	49	0.00386073
8	39	0.00363265
9	38	0.00363265
12	74	0.00343475
47	53	0.00325971
39	43	0.00302332
11	63	0.00274645
2	42	0.00238762
43	61	0.00225098
34	46	0.0021215
2	48	0.00193036
8	38	0.00181632
47	52	0.00162985
46	53	0.00162985
39	42	0.00151166
38	43	0.00151166
10	63	0.00137322
11	62	0.00137322
43	60	0.00112549
42	61	0.00112549
45	57	0.000879272
46	52	0.000814926
38	42	0.00075583
10	62	0.000686612
42	60	0.000562745
49	61	0.000535124
44	57	0.000439636
45	56	0.000439636
3	9	0.000414187
47	67	0.000371611
17	53	0.000366435
31	67	0.00034057
48	61	0.000267562
49	60	0.000267562
21	45	0.000233435
9	61	0.000233283
44	56	0.000219818
2	9	0.000207093
3	8	0.000207093
47	66	0.000185806
46	67	0.000185806
17	52	0.000183218
16	53	0.000183218
30	67	0.000170285
31	66	0.000170285
13	53	0.000161703
5	53	0.000158567
39	61	0.000138961
27	35	0.000138797
48	60	0.000133781
21	44	0.000116718
20	45	0.000116718
9	60	0.000116641
8	61	0.000116641
2	8	0.000103547
17	75	9.88673e-05
15	33	9.4362e-05
46	66	9.29028e-05
16	52	9.16088e-05
30	66	8.51426e-05
13	52	8.08516e-05
12	53	8.08516e-05
31	47	8.01257e-05
5	52	7.92836e-05
4	53	7.92836e-05
39	60	6.94807e-05
38	61	6.94807e-05
26	35	6.93984e-05
27	34	6.93984e-05
20	44	5.83588e-05
8	60	5.83206e-05
1	77	5.77072e-05
16	75	4.94337e-05
17	74	4.94337e-05
14	33	4.7181e-05
15	32	4.7181e-05
27	47	4.08059e-05
12	52	4.04258e-05
31	46	4.00629e-05
30	47	4.00629e-05
4	52	3.96418e-05
17	47	3.87092e-05
13	47	3.81416e-05
38	60	3.47404e-05
26	34	3.46992e-05
0	77	2.88536e-05
1	76	2.88536e-05
16	74	2.47168e-05
14	32	2.35905e-05
13	59	2.16667e-05
26	47	2.04029e-05
27	46	2.04029e-05
30	46	2.00314e-05
17	46	1.93546e-05
16	47	1.93546e-05
12	47	1.90708e-05
13	46	1.90708e-05
39	79	1.85837e-05
35	53	1.66152e-05
0	76	1.44268e-05
31	59	1.22506e-05
31	35	1.17805e-05
